Source Index,Source Title,Target Index,Target Title,Relation Type
1.1,Signal Types,1.3,Modulation and Demodulation Concepts,depends on
1.1,Signal Types,1.4,RF Front-End Architecture,implemented in
1.2,Frequency Spectrum,2.1,Link Budget Analysis,depends on
1.5,Propagation and Channel Fundamentals,2.1,Link Budget Analysis,depends on
1.5,Propagation and Channel Fundamentals,6.10,Simulation and Modeling,modeled in
1.6,Antenna Fundamentals,2.1,Link Budget Analysis,depends on
1.6,Antenna Fundamentals,6.1,MIMO and Beamforming,extends
2.1,Link Budget Analysis,3.2,Receiver Performance,measured by
2.2,Dynamic Range and Linearity,3.5,Nonlinear Distortion Metrics,measured by
2.3,Noise Performance,3.2,Receiver Performance,affects
2.3,Noise Performance,3.3,Bit-Level Metrics,affects
2.4,Linearity and Interference Robustness,3.5,Nonlinear Distortion Metrics,measured by
2.5,Power Efficiency and Thermal Design,1.4.6,Power Amplifiers,implemented in
2.6,Impedance Matching and Stability,1.4,RF Front-End Architecture,depends on
2.6,Impedance Matching and Stability,6.9,Hardware and Calibration,verified by
3.1,Spectral Performance,1.4.8,Testing,verified by
3.1,Spectral Performance,4.1,Test Equipment,measured by
3.2,Receiver Performance,4.2,Test Environments,measured by
3.3,Bit-Level Metrics,5.1,Link-Level Simulation,modeled in
3.4,System-Level Metrics,5.2,System-Level Testing,measured by
3.5,Nonlinear Distortion Metrics,4.6,EMC/EMI Testing,verified by
3.6,Time-Variant Metrics,6.10,Simulation and Modeling,modeled in
1.4.8,Testing,3,Performance Metrics and Measurements,depends on
4.1,Test Equipment,1.4.8,Testing,applied to
4.1,Test Equipment,4.4,Calibration and Verification,depends on
4.2,Test Environments,4.5,OTA MIMO/mmWave Testing,extends
4.3,Automation and Control,5.5,Reliability and Maintenance,used in
4.4,Calibration and Verification,6.9,Hardware and Calibration,depends on
4.4,Calibration and Verification,7.3,Measurement Uncertainty,verified by
4.6,EMC/EMI Testing,5.3,Standards Compliance,applied to
5.1,Link-Level Simulation,3.3,Bit-Level Metrics,verifies
5.1,Link-Level Simulation,6.10,Simulation and Modeling,implemented in
5.2,System-Level Testing,3.4,System-Level Metrics,verifies
5.2,System-Level Testing,5.4,Field Measurements,extends
5.3,Standards Compliance,1.2,Frequency Spectrum,depends on
5.3,Standards Compliance,4.6,EMC/EMI Testing,verified by
5.4,Field Measurements,2.1,Link Budget Analysis,verified by
5.4,Field Measurements,1.5,Propagation and Channel Fundamentals,verified by
5.5,Reliability and Maintenance,4.3,Automation and Control,depends on
5.6,Network-Level Coexistence,6.7,Interference Management,depends on
5.6,Network-Level Coexistence,6.8,RF Sensing and ISAC,interacts with
