Index,Topic,Description / Key Concepts
1,RF Communications Fundamentals,Foundational concepts in RF communication systems.
1.1,Signal Types,Classification of analog and digital modulation schemes.
1.1.1,Amplitude Modulation (AM),Basic analog modulation varying carrier amplitude.
1.1.2,Frequency Modulation (FM),Frequency deviation based analog modulation.
1.1.3,Phase Modulation (PM),Phase-based analog modulation scheme.
1.1.4,SSB / DSB-SC / VSB,Sideband modulation techniques and efficiency.
1.1.5,Bandwidth Efficiency and Demodulation,Trade-offs and demodulation principles.
1.1.6,ASK / FSK / PSK / QAM,Core digital modulation types.
1.1.7,OFDM / FBMC / UFMC,Multicarrier modulation schemes.
1.1.8,Pulse Shaping Filters,Raised Cosine and SRRC filtering.
1.1.9,IQ Representation and Complex Envelope,Baseband/passband modeling concepts.
1.1.10,Up/Down Conversion,Frequency translation and mixing operations.
1.2,Frequency Spectrum,Organization and use of frequency bands.
1.2.1,HF / VHF / UHF / SHF / EHF,Band definitions and characteristics.
1.2.2,HF Applications,Long-range communications and propagation.
1.2.3,VHF Applications,Broadcast and airband communications.
1.2.4,UHF Applications,Cellular, Wi-Fi systems.
1.2.5,SHF/EHF Applications,Radar and satellite systems.
1.2.6,Regulatory Bodies,ITU, ETSI, FCC coordination.
1.2.7,Frequency Reuse and Planning,Reuse factors and guard bands.
1.3,Modulation and Demodulation Concepts,Signal synchronization and recovery principles.
1.3.1,Carrier Synchronization,PLLs and Costas loops.
1.3.2,Symbol Timing Recovery,Gardner and Mueller & Müller algorithms.
1.3.3,Equalization,Linear, DFE, and adaptive methods.
1.3.4,Error Detection,CRC, parity, checksum.
1.3.5,Spectral Efficiency,Trade-offs between bits/Hz and robustness.
1.4,RF Front-End Architecture,Signal chain from antenna to ADC/DAC.
1.4.1,Transmitter Chain,DAC → Mixer → PA → Filter → Antenna.
1.4.2,Receiver Chain,Antenna → LNA → Mixer → Filter → ADC.
1.4.3,LNA,Noise figure optimization and impedance matching.
1.4.4,Mixer,LO leakage and image rejection.
1.4.5,Filters,BPF, LPF, SAW/BAW design.
1.4.6,Power Amplifiers,Efficiency, linearity, and thermal effects.
1.4.7,Architectures,Direct conversion, superheterodyne, zero-IF.
1.4.8,Testing,Gain flatness, NF, linearity, and S11.
1.5,Propagation and Channel Fundamentals,Mechanisms of RF signal transmission and fading.
1.5.1,Free-space and Reflection,Line-of-sight and multipath.
1.5.2,Fresnel Zones and Diffraction,Path clearance and shadowing.
1.5.3,Ground and Sky Wave,Long-distance and atmospheric effects.
1.5.4,Atmospheric and Rain Attenuation,Frequency-dependent losses (ITU models).
1.5.5,Urban and Indoor Models,COST 231, Hata, WINNER II.
1.5.6,Doppler and Mobility,Coherence time and Doppler spread.
1.6,Antenna Fundamentals,Antenna theory, design, and measurements.
1.6.1,Antenna Parameters,Gain, efficiency, polarization, impedance.
1.6.2,Antenna Types,Dipole, patch, horn, Yagi, array, reflector.
1.6.3,Matching and Baluns,Impedance matching for maximum power transfer.
1.6.4,Radiation Pattern,Beamwidth and sidelobe control.
1.6.5,Antenna Diversity and MIMO,Spatial diversity and correlation.
1.6.6,Antenna Measurements,Gain, pattern, VSWR, and S11 testing.
2,RF System Design Parameters,System-level design, analysis, and performance optimization.
2.1,Link Budget Analysis,Power balance across the communication path.
2.1.1,Core Formula,Pr = Pt + Gt + Gr − Lp − Lsys.
2.1.2,Free Space Path Loss (FSPL),Lfs = 32.4 + 20 log d + 20 log f.
2.1.3,Fade Margin,Design margin for reliability.
2.1.4,Link Tools,Spreadsheet and MATLAB simulations.
2.2,Dynamic Range and Linearity,System linearity and compression performance.
2.2.1,Receiver Dynamic Range,Difference between MDS and max input.
2.2.2,Nonlinearity Metrics,P1dB, IP3, SFDR.
2.2.3,Testing Methods,Two-tone and sweep measurements.
2.3,Noise Performance,Noise figure, cascaded effects, measurement.
2.3.1,Noise Figure,Definition and measurement.
2.3.2,Thermal Noise,Generated power kTB.
