Identifier,URL
2.6.2,"https://www.youtube.com/watch?v=rUDMo7hwihs&pp=ygULc21pdGggY2hhcnTSBwkJ_AkBhyohjO8%3D"
3.1.1,"https://www.youtube.com/watch?v=GmZItI66ToI&pp=ygUOT0JXIG1lYXN1cm1lbnQ%3D"
3.1.4,"https://www.youtube.com/watch?v=hfgaEjf1154"
1,https://www.youtube.com/watch?v=pSDTyUh9cLo
1.1,https://www.youtube.com/watch?v=beFoCZ7oMyY
1.1.1,https://www.youtube.com/watch?v=3HLjYIpGcGc
1.1.2,https://www.youtube.com/watch?v=gFu7-7lUGDg
1.1.3,https://www.youtube.com/watch?v=K9fPrA7QLEw
1.1.4,https://www.youtube.com/watch?v=wE-X0tzrGZk
1.1.5,https://www.youtube.com/watch?v=RJMqMa4E1u0
1.1.6,https://www.youtube.com/watch?v=aUOwbzVSPXY
1.1.8,https://www.youtube.com/watch?v=uTI0qLLbS74
1.1.9,https://www.youtube.com/watch?v=h_7d-m1ehoY
1.1.10,https://www.youtube.com/watch?v=O2GqyJxWOGE
1.2,https://www.youtube.com/watch?v=f7UGwrEsoXQ
1.2.1,https://www.youtube.com/watch?v=DTXJ3bS2UcE
1.2.3,https://www.youtube.com/watch?v=R0Vzaf14SKQ
1.2.4,https://www.youtube.com/watch?v=1JZG9x_VOwA
1.2.5,https://www.youtube.com/watch?v=xUGWHGjCtII
1.2.7,https://www.youtube.com/watch?v=abkcbOX6veM
1.3,https://www.youtube.com/watch?v=h_7d-m1ehoY
1.3.1,https://www.youtube.com/watch?v=A9qt0JYdvFU
1.3.3,https://www.youtube.com/watch?v=4prlftiKpUY
1.3.5,https://www.youtube.com/watch?v=RJMqMa4E1u0
1.4,https://www.youtube.com/watch?v=nfHp7fn-2Bc
1.4.1,https://www.youtube.com/watch?v=pJle528JLVU
1.4.3,https://www.youtube.com/watch?v=ctzdRhdKQLo
1.4.4,https://www.youtube.com/watch?v=O2GqyJxWOGE
1.4.6,https://www.youtube.com/watch?v=vdWMU4BMZpI
1.4.7,https://www.youtube.com/watch?v=pJle528JLVU
1.4.8,https://www.youtube.com/watch?v=f5D7fCyzGlc
1.5.1,https://www.youtube.com/watch?v=uGfviI-vbr8
1.5.2,https://www.youtube.com/watch?v=hs12_KpvSn0
1.5.3,https://www.youtube.com/watch?v=7Y_RTdPs3NI
1.5.4,https://www.youtube.com/watch?v=sS0oWHpNL-k
1.5.6,https://www.youtube.com/watch?v=uuMoexleLZk
1.6.1,https://www.youtube.com/watch?v=YHd5K-zIUT4
1.6.2,https://www.youtube.com/watch?v=eiVrfq10BFE
1.6.3,https://www.youtube.com/watch?v=QLUrwoHRLJM
1.6.4,https://www.youtube.com/watch?v=HKpQP8H4JRc
1.6.6,https://www.youtube.com/watch?v=YHd5K-zIUT4
2,https://www.youtube.com/watch?v=tpuCxGu-PXY
2.1,https://www.youtube.com/watch?v=swjgr4YBhRM
2.1.1,https://www.youtube.com/watch?v=_FWgvvoPmQQ
2.1.2,https://www.youtube.com/watch?v=_FWgvvoPmQQ
2.1.3,https://www.youtube.com/watch?v=YFOKkA8gL3w
2.1.4,https://www.youtube.com/watch?v=swjgr4YBhRM
2.2,https://www.youtube.com/watch?v=30dWNYNzjfI
2.2.1,https://www.youtube.com/watch?v=nfHp7fn-2Bc
2.2.2,https://www.youtube.com/watch?v=30dWNYNzjfI
2.2.3,https://www.youtube.com/watch?v=m-2H8ddSwTI
2.3,https://www.youtube.com/watch?v=_-AkINSPkhw
2.3.1,https://www.youtube.com/watch?v=_-AkINSPkhw
2.3.2,https://www.youtube.com/watch?v=xYXWRPDVYoE
2.3.3,https://www.youtube.com/watch?v=_FWgvvoPmQQ
2.3.4,https://www.youtube.com/watch?v=rS971cJXNWE
2.4,https://www.youtube.com/watch?v=pYs3x4-2G2o
2.4.1,https://www.youtube.com/watch?v=Wv4Zq5ty0jM
2.4.2,https://www.youtube.com/watch?v=FrmU_8bf_0Y
2.4.3,https://www.youtube.com/watch?v=mco_BJ1mjNo
2.5,https://www.youtube.com/watch?v=vdWMU4BMZpI
2.5.2,https://www.youtube.com/watch?v=6EG8_zwxRCI
2.5.3,https://www.youtube.com/watch?v=JWcX2fSxN_w
2.6,https://www.youtube.com/watch?v=TsXd6GktlYQ
2.6.1,https://www.youtube.com/watch?v=f8MhMl4IqUE
2.6.4,https://www.youtube.com/watch?v=rUDMo7hwihs
3,https://www.youtube.com/watch?v=tpuCxGu-PXY
3.1,https://www.youtube.com/watch?v=mco_BJ1mjNo
3.1.2,https://www.youtube.com/watch?v=mco_BJ1mjNo
3.1.3,https://www.youtube.com/watch?v=L8gU74DCuuk
3.2,https://www.youtube.com/watch?v=-81-EinFrTE
3.2.1,https://www.youtube.com/watch?v=vQh-ZwUXERU
3.2.2,https://www.youtube.com/watch?v=mco_BJ1mjNo
3.2.3,https://www.youtube.com/watch?v=FrmU_8bf_0Y
3.2.4,https://www.youtube.com/watch?v=FrmU_8bf_0Y
3.3,https://www.youtube.com/watch?v=rMVAQsUudSs
3.3.1,https://www.youtube.com/watch?v=-qUQrImVZog
3.3.2,https://www.youtube.com/watch?v=rMVAQsUudSs
3.3.3,https://www.youtube.com/watch?v=aQd_zBytid8
3.3.4,https://www.youtube.com/watch?v=qaUGPcPRJLQ
3.4,https://www.youtube.com/watch?v=tpuCxGu-PXY
3.4.1,https://www.youtube.com/watch?v=aTVrSWR2CU4
3.4.2,https://www.youtube.com/watch?v=lGGJv5AWwdo
3.4.3,https://www.youtube.com/watch?v=v5jZSm6lMwU
3.5,https://www.youtube.com/watch?v=vgQF7Y8jVag
3.6,https://www.youtube.com/watch?v=ZMNLrRdku2c
4,https://www.youtube.com/watch?v=slf5cei2Na8
4.2,https://www.youtube.com/watch?v=ZM3jWYGNoLU
4.3,https://www.youtube.com/watch?v=DsibuH51IVw
4.5,https://www.youtube.com/watch?v=ijiFWLdUorA
4.6,https://www.youtube.com/watch?v=ZM3jWYGNoLU
5,https://www.youtube.com/watch?v=4W0BeX2hrGM
5.1,https://www.youtube.com/watch?v=ggHtRTDKyfk
5.2,https://www.youtube.com/watch?v=f7UGwrEsoXQ
5.3,https://www.youtube.com/watch?v=-Dn7ogOf6HA
5.4,https://www.youtube.com/watch?v=abkcbOX6veM
5.6,https://www.youtube.com/watch?v=5G5zlWX2s0w
6,https://www.youtube.com/watch?v=fPTrifr-wLw
6.1,https://www.youtube.com/watch?v=g84f4mP0u30
6.2,https://www.youtube.com/watch?v=fPTrifr-wLw
6.5,https://www.youtube.com/watch?v=Ctmsdez6Guc
6.6,https://www.youtube.com/watch?v=WAajpKTJj-8
6.7,https://www.youtube.com/watch?v=f7UGwrEsoXQ
6.9,https://www.youtube.com/watch?v=r46wK-2Ohvw
6.10,https://www.youtube.com/watch?v=Pqe2w-aM5_c
6.12,https://www.youtube.com/watch?v=33Iysw8OIQQ
6.15,https://www.youtube.com/watch?v=hfgaEjf1154
7,https://www.youtube.com/watch?v=xxOJXILlRxM
7.1,https://www.youtube.com/watch?v=drwGvATLNaw
7.2,https://www.youtube.com/watch?v=tx51_kKBco8
7.3,https://www.youtube.com/watch?v=swjgr4YBhRM
